title,original_title,budget,genres,language,spoken_languages,homepage,overview,popularity,runtime,revenue,release_date,vote_average,vote_count,production_countries
In from the Side,In from the Side,0,"['Drama', 'Romance']",en,['English'],http://www.infromthesidemovie.com,"Mark, a new and inexperienced rugby club member, finds himself drawn to Warren, a seasoned first team player. When a series of happenstances at an away fixture lead to a drunken encounter, Mark and Warren unwittingly embark on a romantic affair they struggle to hide from their partners and teammates.",14.302,134,52885,2022-09-16,6.8,62,['United Kingdom']
After Love,After Love,0,['Drama'],en,"['English', 'Arabic', 'French', 'Urdu']",,"Set in the port town of Dover in the South-East of England, Mary Hussain suddenly finds herself a widow following the unexpected death of her husband. A day after the burial, she discovers he has a secret just twenty-one miles across the English Channel in Calais.",6.627,89,0,2021-06-04,7.159,123,['United Kingdom']
Alcarràs,Alcarràs,3,['Drama'],ca,['Catalan'],https://www.alcarras-film.com/,"In a small village in Catalonia, the peach farmers of the Solé family spend every summer together picking fruit from their orchard. But when plans arise to install solar panels and cut down trees, the members of this tight-knit group suddenly face eviction – and the loss of far more than their home.",6.929,120,2,2022-04-29,6.9,181,['Spain']
Nelly and Monsieur Arnaud,Nelly et Mr. Arnaud,0,"['Drama', 'Romance']",fr,['French'],,"Nelly leaves her lazy, unemployed husband to work for retired judge Mr Arnaud, forty years her senior, after he offers to clear her bills for her. While she types his memoirs the two develop a close friendship, but Arnaud becomes jealous when Nelly begins dating his good-looking young publisher.",15.317,106,0,1995-08-23,6.888,120,"['Germany', 'France', 'Italy']"
Lady Chatterley's Lover,Lady Chatterley's Lover,0,"['Drama', 'Romance']",en,['English'],https://www.netflix.com/title/81476441,Unhappily married aristocrat Lady Chatterley begins a torrid affair — and falls deeply in love — with the gamekeeper on her husband's country estate.,41.137,126,0,2022-11-22,6.6,395,"['United Kingdom', 'United States of America']"
The Sound of Christmas,The Sound of Christmas,0,"['TV Movie', 'Drama']",en,['English'],,A woman facing eviction just before Christmas who must navigate budding romantic feelings for a handsome billionaire when she takes a job nannying for his two children right before Christmas.,5.915,0,0,2022-11-24,8.0,4,['United States of America']
The Inspection,The Inspection,0,['Drama'],en,"['Arabic', 'Spanish', 'English']",https://a24films.com/films/inspection,"Ellis French is a young, gay Black man, rejected by his mother and with few options for his future, decides to join the Marines, doing whatever it takes to succeed in a system that would cast him aside. But even as he battles deep-seated prejudice and the grueling routines of basic training, he finds unexpected camaraderie, strength, and support in this new community, giving him a hard-earned sense of belonging that will shape his identity and forever change his life.",11.824,95,270613,2022-11-18,6.2,56,['United States of America']
Bones and All,Bones and All,16000000,"['Drama', 'Horror', 'Romance']",it,['English'],https://www.bonesandallfilm.net/,"Abandoned by her father, a young woman embarks on a thousand-mile odyssey through the backroads of America where she meets a disenfranchised drifter. But despite their best efforts, all roads lead back to their terrifying pasts and to a final stand that will determine whether their love can survive their otherness.",31.793,131,15234907,2022-11-18,7.07,1258,"['Italy', 'United States of America']"
My Policeman,My Policeman,0,"['Drama', 'Romance']",en,['English'],https://www.amazon.com/dp/B09Y8SHDPD,"In the late 1990s, the arrival of elderly invalid Patrick into Marion and Tom’s home triggers the exploration of seismic events from 40 years previous: the passionate relationship between Tom and Patrick at a time when homosexuality was illegal.",15.99,113,0,2022-10-20,7.731,642,"['United Kingdom', 'United States of America']"
About Fate,About Fate,0,"['Romance', 'Comedy']",en,['English'],,"Two strangers believe in love but never seem to be able to find its true meaning. In a wild twist of events, fate puts each in the other's path on one stormy New Year's Eve.",23.651,100,0,2022-09-08,7.459,363,['United States of America']
